"ASV","TrueSignal","Z_Raw","Z_Smoothed","P_Raw","P_Smoothed","Sig_Raw","Sig_Smoothed","Z_Change","P_Log_Ratio"
"ASV069",FALSE,0.0842587002486087,0.114462315717303,0.932935878102322,0.908871317718166,FALSE,FALSE,0.030203615468694,0.0113493970306996
"ASV025",FALSE,-0.96705441729273,-0.580482933774849,0.334696550750293,0.561588992249885,FALSE,FALSE,0.386571483517881,-0.22476734985038
"ASV052",FALSE,0.559483495495069,0.430818361016865,0.576464119000014,0.666600447922638,FALSE,FALSE,-0.128665134478204,-0.0630933205769237
"ASV022",FALSE,-0.978626628331714,-0.587837725160577,0.328958691626093,0.556641219591104,FALSE,FALSE,0.390788903171137,-0.228433997281543
"ASV032",FALSE,-0.0751512600067244,0.00972777527727117,0.940170237619654,0.992238480707092,FALSE,FALSE,0.0848790352839955,-0.023409566828892
"ASV080",FALSE,-0.448242706082708,-0.236315789907216,0.654468147538604,0.813187635308776,FALSE,FALSE,0.211926916175493,-0.0943022518534012
"ASV035",FALSE,0.110435525691545,0.133269748528668,0.912175836620363,0.893980051335224,FALSE,FALSE,0.0228342228371235,0.00875073580621118
"ASV040",FALSE,0.180275703337443,0.182290015047248,0.857120504233123,0.855355134242662,FALSE,FALSE,0.00201431170980509,0.000895417954852771
"ASV030",FALSE,0.290164615639354,0.255865979995593,0.771993966530025,0.798054324405258,FALSE,FALSE,-0.0342986356437602,-0.0144185490955238
"ASV012",FALSE,1.03330452595132,0.747243918306058,0.302721848966909,0.454916338136806,FALSE,FALSE,-0.286060607645267,-0.176887767304129
"ASV087",FALSE,-1.28472839358441,-0.793982324162355,0.20038817498671,0.427205721592811,FALSE,FALSE,0.490746069422056,-0.328764970590588
"ASV073",FALSE,-1.75571263810545,-1.10618427566385,0.0806837866365854,0.268646767396039,FALSE,FALSE,0.649528362441597,-0.522395346859661
"ASV064",FALSE,-0.659342257938277,-0.388524904465435,0.510442131246157,0.697627627656415,FALSE,FALSE,0.270817353472842,-0.135677158015796
"ASV014",FALSE,-0.298777924919219,-0.150020025566043,0.765422837306568,0.880748815939458,FALSE,FALSE,0.148757899353177,-0.0609506522196193
"ASV067",FALSE,-0.48745257563234,-0.274492956101391,0.62647690225015,0.783705816037124,FALSE,FALSE,0.212959619530949,-0.0972480062636278
"ASV023",FALSE,-0.450363240561837,-0.250703106135346,0.652941278337396,0.802043659013755,FALSE,FALSE,0.199660134426491,-0.0893238844580484
"ASV037",FALSE,-1.13961644517385,-0.706626675983715,0.255822895840169,0.479798506891566,FALSE,FALSE,0.432989769190139,-0.273119481418039
"ASV008",FALSE,-0.849108761245075,-0.513123843111371,0.396846215321173,0.60786469400721,FALSE,FALSE,0.335984918133703,-0.185184676585419
"ASV051",FALSE,-0.394583690787975,-0.212321592592452,0.693574845393503,0.831856150983719,FALSE,FALSE,0.182262098195523,-0.0789548985177513
"ASV010",FALSE,-1.16882189229951,-0.723941477330006,0.243880670135436,0.469101664477128,FALSE,FALSE,0.4448804149695,-0.284089594217257
"ASV085",FALSE,0.580215080255662,0.432349819446115,0.562429291986774,0.665487183458918,FALSE,FALSE,-0.147865260809547,-0.073071764689602
"ASV042",FALSE,-0.361893189765208,-0.182823984630023,0.717817771603339,0.854936128769189,FALSE,FALSE,0.179069205135185,-0.0759194640163745
"ASV044",FALSE,0.510361820131544,0.394767796324814,0.610366487569934,0.693014263445215,FALSE,FALSE,-0.11559402380673,-0.0551514927642937
"ASV084",FALSE,0.979154766810212,0.705804125321598,0.328698366136032,0.480309956269788,FALSE,FALSE,-0.273350641488614,-0.164724043819056
"ASV062",FALSE,-1.21648440882252,-0.752622786486571,0.225248590074907,0.45167662081391,FALSE,FALSE,0.463861622335949,-0.302165530443242
